,Year,Cement CO2 Emissions (Mt)
48,1928,868.6
49,1929,963.0
50,1930,926.7
51,1931,799.5
52,1932,363.4
53,1933,189.0
54,1934,272.6
55,1935,272.6
56,1936,388.9
57,1937,483.4
58,1938,432.5
59,1939,450.7
60,1940,592.4
61,1941,657.8
62,1942,716.0
63,1943,574.2
64,1944,563.3
65,1945,665.1
66,1946,908.5
67,1947,937.6
68,1948,1108.0
69,1949,1250.0
70,1950,1312.0
71,1951,1334.0
72,1952,1454.0
73,1953,1744.0
74,1954,1759.0
75,1955,1973.0
76,1956,2253.0
77,1957,2711.0
78,1958,2758.0
79,1959,2817.0
80,1960,2595.0
81,1961,2784.0
82,1962,3086.0
83,1963,3144.0
84,1964,3547.0
85,1965,3747.0
86,1966,4001.0
87,1967,3583.0
88,1968,3660.0
89,1969,3700.0
90,1970,3562.0
91,1971,4068.0
92,1972,4477.0
93,1973,4995.0
94,1974,5135.0
95,1975,4933.0
96,1976,4767.0
97,1977,4776.0
98,1978,5113.0
99,1979,5833.0
100,1980,5208.0
101,1981,5034.0
102,1982,4182.0
103,1983,3906.0
104,1984,4276.0
105,1985,5063.0
106,1986,5270.0
107,1987,6259.0
108,1988,5986.0
109,1989,6263.0
110,1990,5823.0
111,1991,4771.0
112,1992,4804.0
113,1993,4893.0
114,1994,5769.0
115,1995,6529.0
116,1996,6185.0
117,1997,6657.0
118,1998,6828.0
119,1999,7118.0
120,2000,7232.0
121,2001,6983.0
122,2002,7148.0
123,2003,7248.0
124,2004,7520.0
125,2005,7614.0
126,2006,7728.0
127,2007,7731.0
128,2008,6988.0
129,2009,5364.0
130,2010,6005.0
131,2011,6020.0
132,2012,6532.0
133,2013,5973.0
134,2014,5912.0
135,2015,6222.0
136,2016,6151.0
137,2017,6853.0
138,2018,6980.0
139,2019,7177.0
